Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1169,-1169,-1271,-346.6077,-880.5652
Acquisitions net,-,-,-,-1180,-
Other investing activites,1141,1141,-0.0014,229.7936,108.2062
Net cash used for investing activites,-28.1045,-28.1045,-589.6231,-89.9885,-772.359
Debt repayment,-,-,-440.3585,-1827,-1375
Common stock issued,2557,2557,-,1949,1585
Common stock repurchased,-269.2692,-269.2692,-97.8748,-204.2808,-100.825
Other financing activites,-13.5826,-13.5826,-,-,-
Net cash used privided by (used for) financing activities,2560,2560,-538.2332,-81.9551,800.1078
Net change in cash,1934,1934,-67.478,-136.5346,281.1982
Cash at beginning of period,712.4921,712.4921,772.862,844.1667,615.5597
Cash at end of period,2653,2653,707.2428,699.341,909.9641
Capital Expenditure,-1169,-1169,-1271,-346.6077,-880.5652
Free Cash Flow,-1768,-1768,-210.3344,-311.1987,-627.1158
