Breakdown,ttm,3/31/2019
Total Revenue,89489000,85665000
Cost of Revenue,76344000,72244000
Gross Profit,13146000,13421000
Total Operating Expenses,9702000,9192000
Operating Income or Loss,3444000,4229000
Interest Expense,212000,199000
Income Before Tax,324000,1076000
Income Tax Expense,716000,820000
Income from Continuing Operations,-392000,256000
Net Income,-442000,261000
Net Income available to common shareholders,-442000,261000
Basic EPS,-,7.44
Diluted EPS,-,7.38
Basic Average Shares,-,35092
Diluted Average Shares,-,35366
