Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-64087,-62354,-569456,-16530
Depreciation & amortization,-,5480,5922,10526
Stock based compensation,-,11995,-,-
Change in working capital,-,-37836,-69660,-410711
Inventory,-,-465,-,-
Other working capital,-56198,-62977,-86524,-422158
Other non-cash items,-,3641,2919,-27487
Net cash provided by operating activites,-56173,-62952,-84149,-412754
Investments in property plant and equipment,-,-25,-2375,-9404
Acquisitions net,-,-,0,-12227
Purchases of investments,-,0,-12971,-70000
Sales/Maturities of investments,-,14330,0,-
Other investing activites,-,-,-,4663
Net cash used for investing activites,363,14524,-13373,-7805
Net change in cash,308,-20905,-75198,90570
Cash at beginning of period,33680,61679,136775,46323
Cash at end of period,33988,40654,61679,136775
Operating Cash Flow,-56173,-62952,-84149,-412754
Capital Expenditure,-,-25,-2375,-9404
Free Cash Flow,-56198,-62977,-86524,-422158
