Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-30782,-30782,-37923,48146,74206
Depreciation & amortization,-,-,15630,11305,11175
Change in working capital,-,-,-28162,6689,-50034
Inventory,-,-,-7652,-6380,2338
Other working capital,-,-,-118605,-9924,51845
Other non-cash items,-,-,2123,-46035,2635
Net cash provided by operating activites,-,-,-50314,7878,57704
Investments in property plant and equipment,-,-,-68291,-17802,-5859
Acquisitions net,-,-,-,0,-85450
Purchases of investments,-,-,-81453,-67607,-2377
Sales/Maturities of investments,-,-,149404,28164,-
Other investing activites,-,-,15000,52022,51328
Net cash used for investing activites,-,-,20942,33667,-41162
Net change in cash,-,-,-6564,26673,47534
Cash at beginning of period,-,-,199688,165574,120747
Cash at end of period,-,-,185786,199688,165574
Operating Cash Flow,-,-,-50314,7878,57704
Capital Expenditure,-,-,-68291,-17802,-5859
Free Cash Flow,-,-,-118605,-9924,51845
