Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,649665,564797,345868,485296
Depreciation & amortization,-,305561,266059,256254
Change in working capital,-,-280041,-162828,-221496
Inventory,-,-305956,-144703,-264364
Other working capital,-,507968,409238,-6563
Other non-cash items,-,90229,39639,10887
Net cash provided by operating activites,-,848660,790690,331412
Investments in property plant and equipment,-,-340692,-381452,-337975
Acquisitions net,-,-153919,0,-
Purchases of investments,-,-123724,-,-160819
Other investing activites,-,-105776,-136197,-129854
Net cash used for investing activites,-,-724111,-517649,-628648
Net change in cash,-,270808,-824,264085
Cash at beginning of period,-,1335690,1336514,1072428
Cash at end of period,-,1606499,1335690,1336514
Operating Cash Flow,-,848660,790690,331412
Capital Expenditure,-,-340692,-381452,-337975
Free Cash Flow,-,507968,409238,-6563
