Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-138840,-81783,6646,-6342
Depreciation & amortization,-,85725,122882,148404
Change in working capital,-,17225,-11814,8876
Inventory,-,-20735,-6164,8743
Other working capital,-,-18163,72623,-576
Other non-cash items,-,5209,10189,211
Net cash provided by operating activites,-,32414,121364,164969
Investments in property plant and equipment,-,-50577,-48741,-165545
Purchases of investments,-,-42875,-42952,-73317
Sales/Maturities of investments,-,46151,57805,29580
Other investing activites,-,52034,54115,366
Net cash used for investing activites,-,4733,24727,-208916
Net change in cash,-,-68100,137713,-117381
Cash at beginning of period,-,1890754,1753041,1870422
Cash at end of period,-,1822653,1890754,1753041
Operating Cash Flow,-,32414,121364,164969
Capital Expenditure,-,-50577,-48741,-165545
Free Cash Flow,-,-18163,72623,-576
