Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,13909000,13316000,11996000,11064000
Depreciation & amortization,-,4207000,3638000,3512000
Change in working capital,-,-5257000,-1697000,425000
Inventory,-,-2710000,-1072000,-96000
Other working capital,-,5685000,12123000,15030000
Other non-cash items,-,127000,1497000,1665000
Net cash provided by operating activites,-,13275000,16436000,18331000
Investments in property plant and equipment,-,-7590000,-4313000,-3301000
Acquisitions net,-,-,-3477000,-
Purchases of investments,-,-266000,-508000,-319000
Sales/Maturities of investments,-,251000,574000,920000
Other investing activites,-,-542000,-226000,-569000
Net cash used for investing activites,-,-8147000,-7950000,-3269000
Net change in cash,-,-3516000,1274000,10150000
Cash at beginning of period,-,48896000,47622000,37449000
Cash at end of period,-,45379000,48896000,47622000
Operating Cash Flow,-,13275000,16436000,18331000
Capital Expenditure,-,-7590000,-4313000,-3301000
Free Cash Flow,-,5685000,12123000,15030000
