Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,3245103,3249569,3312875
Liabilities,,,
Total Liabilities,2912185,2909173,2988959
Stockholders' Equity,,,
Common Stock,275,181,181
Retained Earnings,134287,315234,293934
Accumulated other comprehensive income,7832,-4288,-375
Total stockholders' equity,332918,340396,323916
Total liabilities and stockholders' equity,3245103,3249569,3312875
