Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,6087017,5637673,4412701,3233723
Liabilities,,,,
Total Liabilities,5425106,5029148,3963156,2911915
Stockholders' Equity,,,,
Common Stock,244,3019,3161,155
Retained Earnings,165920,133781,114478,112513
Accumulated other comprehensive income,7442,-2108,1758,-610
Total stockholders' equity,661911,608525,449545,321770
Total liabilities and stockholders' equity,6087017,5637673,4412701,3233723
