Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,189873,335552,1376816,1079005
Depreciation & amortization,-,379691,253065,196805
Change in working capital,-,-28948,-323505,663009
Inventory,-,-333976,-580752,595817
Other working capital,-,950550,1016471,1761682
Other non-cash items,-,-59523,-246075,-1982
Net cash provided by operating activites,-,1510753,1150152,1807302
Investments in property plant and equipment,-,-560203,-133681,-45620
Purchases of investments,-,-385487,-26918,-19597
Sales/Maturities of investments,-,515375,-,230906
Other investing activites,-,-51220,1150,-892
Net cash used for investing activites,-,-481177,-78448,164797
Net change in cash,-,-97567,237203,1377497
Cash at beginning of period,-,2298941,2061737,684239
Cash at end of period,-,2201373,2298941,2061737
Operating Cash Flow,-,1510753,1150152,1807302
Capital Expenditure,-,-560203,-133681,-45620
Free Cash Flow,-,950550,1016471,1761682
