Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1040,-1965,-1356
Net cash used for investing activites,-789.7,-1965,-1356
Common stock issued,2000,360,4740
Common stock repurchased,-159.401,-16.043,-514.246
Other financing activites,-,-,2
Net cash used privided by (used for) financing activities,1841,343.957,4228
Net change in cash,590.9,-1926,2150
Cash at beginning of period,883.763,2504,353.485
Cash at end of period,1475,577.41,2504
Capital Expenditure,-1040,-1965,-1356
Free Cash Flow,-1500,-2270,-2077
