Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-6001,-5268
Purchases of investments,-67265,-67265,-75,-66180,-7461
Sales/Maturities of investments,-,-,37651,-,-
Other investing activites,-1219,-1219,1355,-6001,-
Net cash used for investing activites,-237404,-237404,-102857,-175171,-358862
Debt repayment,-117883,-117883,-99656,94191,36468
Common stock issued,275,275,291,349,477.499
Common stock repurchased,49,49,-134,-,-
Dividends Paid,-14324,-14324,-6946,-10354,-9845
Net cash used privided by (used for) financing activities,219787,219787,30818,208198,357723
Net change in cash,18028,18028,-33704,52273,16296
Cash at beginning of period,86361,86361,120065,67792,51495
Cash at end of period,104389,104389,86361,120065,67792
Capital Expenditure,-,-,-,-6001,-5268
Free Cash Flow,35645,35645,38335,19246,12167
