Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1758084,1425019,1415726,1318042
Depreciation & amortization,-,877749,864122,925242
Change in working capital,-,-112661,528795,-588730
Inventory,-,575855,1157869,632248
Other working capital,-,-2415430,2815277,1533335
Other non-cash items,-,200012,175039,106200
Net cash provided by operating activites,-,693068,3095459,1956903
Investments in property plant and equipment,-,-3108498,-280182,-423568
Acquisitions net,-,-,-1046967,-
Purchases of investments,-,-6000,-,-
Other investing activites,-,-473333,-428334,444967
Net cash used for investing activites,-,-924646,-1530312,214662
Net change in cash,-,62481,740319,-515165
Cash at beginning of period,-,2438249,1697929,2162482
Cash at end of period,-,2500731,2438249,1697929
Operating Cash Flow,-,693068,3095459,1956903
Capital Expenditure,-,-3108498,-280182,-423568
Free Cash Flow,-,-2415430,2815277,1533335
