Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-65289,-65289,-84120,-47471,-30321
Acquisitions net,-15187,-15187,-73000,-393,-1270
Other investing activites,15866,15866,11367,4532,-7416
Net cash used for investing activites,-58060,-58060,-144557,-33975,-34497
Debt repayment,-100500,-100500,-286509,-40780,-82500
Common stock issued,86045,86045,-,-,-
Common stock repurchased,-,-,-16196,-,-
Dividends Paid,-32863,-32863,-46866,-48487,-43311
Other financing activites,-1135,-1135,-,-,-
Net cash used privided by (used for) financing activities,-1056,-1056,95181,-37534,-41076
Net change in cash,4714,4714,-1068,4071,2923
Cash at beginning of period,14776,14776,15531,11528,8679
Cash at end of period,19560,19560,14776,15531,11528
Capital Expenditure,-65289,-65289,-84120,-47471,-30321
Free Cash Flow,-1459,-1459,-35812,28109,48175
