Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,370230,419782,1223444,423690
Depreciation & amortization,-,73887,74289,35750
Change in working capital,-,-1471579,-1278218,230174
Inventory,-,-1670270,-397158,-385523
Other working capital,889116,-501714,-958076,-80216
Other non-cash items,-,105999,74313,570156
Net cash provided by operating activites,948790,-473832,-889323,135436
Investments in property plant and equipment,-,-27882,-68753,-215652
Acquisitions net,-,-17540,-942751,-510169
Purchases of investments,-1474852,-747114,-353760,-146195
Sales/Maturities of investments,1030394,590613,155369,238358
Other investing activites,-,-,523395,-
Net cash used for investing activites,-869778,295016,1930714,-261434
Net change in cash,-788107,-344357,294957,1086174
Cash at beginning of period,2167980,2665983,2369784,1288084
Cash at end of period,1379873,2318224,2665983,2369784
Operating Cash Flow,948790,-473832,-889323,135436
Capital Expenditure,-,-27882,-68753,-215652
Free Cash Flow,889116,-501714,-958076,-80216
