Breakdown,ttm,3/31/2019,3/31/2018
Net Income,626042,626042,451128
Depreciation & amortization,21868,21868,20660
Change in working capital,166037,166037,171499
Inventory,-23209,-23209,16067
Other working capital,809416,809416,-334111
Other non-cash items,-2694,-2694,27702
Net cash provided by operating activites,876191,876191,674072
Investments in property plant and equipment,-66775,-66775,-1008183
Acquisitions net,0,0,-6000
Purchases of investments,-54780,-54780,-16131
Sales/Maturities of investments,250,250,60
Other investing activites,-55207,-55207,-16062
Net cash used for investing activites,-121982,-121982,-1030245
Net change in cash,542845,542845,131648
Cash at beginning of period,1606895,1606895,1475247
Cash at end of period,2149741,2149741,1606895
Operating Cash Flow,876191,876191,674072
Capital Expenditure,-66775,-66775,-1008183
Free Cash Flow,809416,809416,-334111
