Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3755,-3755,-4137,-1395,-1040
Other investing activites,150,150,-1502,-,-
Net cash used for investing activites,-3005,-3005,-5025,-920,-577
Dividends Paid,-15000,-15000,-22495,-21200,-19902
Net cash used privided by (used for) financing activities,-12556,-12556,-22495,-21200,-19902
Net change in cash,-1426,-1426,-5293,578,241
Cash at beginning of period,3353,3353,8646,8068,7827
Cash at end of period,1927,1927,3353,8646,8068
Capital Expenditure,-3755,-3755,-4137,-1395,-1040
Free Cash Flow,10380,10380,18090,21303,19680
