Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1876693,1612766,1483712,1344481
Depreciation & amortization,-,1594964,1524107,1455933
Change in working capital,-,-2159124,2619763,3385855
Inventory,-,-593361,545382,164254
Other working capital,-,555155,6384253,6303551
Other non-cash items,-,92485,114019,104678
Net cash provided by operating activites,-,555155,6384253,6303551
Acquisitions net,-,-496078,-,-21448
Purchases of investments,-,-12383,-62891,-12819
Sales/Maturities of investments,-,3517,8501,426733
Other investing activites,-,-1799773,-534152,-725450
Net cash used for investing activites,-,-2314716,-591791,-339013
Net change in cash,-,-1997003,1820407,1324731
Cash at beginning of period,-,5108337,3286220,1961488
Cash at end of period,-,3111334,5108337,3286220
Operating Cash Flow,-,555155,6384253,6303551
Free Cash Flow,-,555155,6384253,6303551
