Breakdown,10/31/2019,10/31/2018,10/31/2017
Total Assets,759226,775113,788290
Liabilities,,,
Total Liabilities,291041,303160,245015
Stockholders' Equity,,,
Common Stock,573727,598296,598010
Retained Earnings,-434.634,119.799,-1452
Total stockholders' equity,468186,471953,543275
Total liabilities and stockholders' equity,759226,775113,788290
