Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2425000,3206000,3336000,2462000
Depreciation & amortization,-,5930000,6009000,5952000
Change in working capital,-,-598000,1383000,409000
Inventory,-,-240000,12000,78000
Other working capital,-,3958000,6295000,4902000
Other non-cash items,-,-54000,-88000,-157000
Net cash provided by operating activites,-,9035000,10783000,9318000
Investments in property plant and equipment,-,-5077000,-4488000,-4416000
Acquisitions net,-,-,-921000,-809000
Purchases of investments,-,-298000,-683000,-127000
Other investing activites,-,254000,700000,19000
Net cash used for investing activites,-,-5016000,-5392000,-5313000
Net change in cash,-,697000,4724000,1718000
Cash at beginning of period,-,11542000,6817000,5099000
Cash at end of period,-,12240000,11542000,6817000
Operating Cash Flow,-,9035000,10783000,9318000
Capital Expenditure,-,-5077000,-4488000,-4416000
Free Cash Flow,-,3958000,6295000,4902000
