Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Research Development,922.3806,9379,1111,994.979,365.354
Selling General and Administrative,972.528,3257,1082,1216,867.999
Total Operating Expenses,8844,27032,12022,9778,4425
Operating Income or Loss,-8844,-27032,-12022,-9778,-4425
Income Before Tax,-8776,-26896,-11327,-9201,-4645
Income Tax Expense,0,0,0,0,0
Income from Continuing Operations,-8776,-26896,-11327,-9201,-4645
Net Income,-8776,-26896,-11327,-9201,-4645
Net Income available to common shareholders,-8776,-26896,-11327,-9201,-4645
Basic EPS,-,-0.14,-0.06,-0.07,-0.04
Diluted EPS,-,-0.14,-0.06,-0.07,-0.04
Basic Average Shares,-,195721,175044,139217,112566
Diluted Average Shares,-,195721,175044,139217,112566
