Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,47607,47607,46066,43448,39696
Interest Expense,6422,6422,4969,3012,2574
Income Before Tax,8940,8940,5198,-126,3957
Income Tax Expense,1080,1080,279,-97,160
Income from Continuing Operations,7860,7860,4919,-29,3797
Net Income,7860,7860,4919,-29,3797
Net Income available to common shareholders,7860,7860,4919,-29,3797
Basic EPS,-,-,0.96,-0.01,0.74
Diluted EPS,-,-,0.96,-0.01,0.74
Basic Average Shares,-,-,5141,4991,4959
Diluted Average Shares,-,-,5141,4991,4961
