Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-39.27,-54.819,-2.2,-71.411,-
Sales/Maturities of investments,-,-,-128,128,-
Other investing activites,-,-,-,1500,-
Net cash used for investing activites,-39.27,-54.819,-130.2,1557,-
Common stock issued,-,4544,-,4603,2026
Common stock repurchased,-,-20.86,-,-249.596,-132.047
Net cash used privided by (used for) financing activities,-,4523,250,4353,1894
Net change in cash,-2180,2518,-3138,3847,-580.465
Cash at beginning of period,5306,2083,5221,1374,1955
Cash at end of period,3126,4601,2083,5221,1374
Capital Expenditure,-39.27,-54.819,-2.2,-71.411,-
Free Cash Flow,-2180,-2005,-3260,-2134,-2474
