Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,16476,16729,16605,17956,19209
Interest Expense,4397,3593,1810,1324,1189
Income Before Tax,4697,4594,4740,7003,7278
Income Tax Expense,741,874,1705,1478,2032
Income from Continuing Operations,3956,3720,3035,5525,5246
Net Income,3956,3720,3035,5525,5246
Net Income available to common shareholders,3952,3714,3027,5506,5209
Basic EPS,-,0.65,0.53,0.97,0.91
Basic Average Shares,-,5686,5661,5667,5700
Diluted Average Shares,-,5760,5790,5767,5773
