Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1787827,1755343,1707620,1657179
Liabilities,,,,
Total Liabilities,1605200,1590314,1557807,1513431
Stockholders' Equity,,,,
Common Stock,53,53,53,53
Retained Earnings,153701,143129,128453,124111
Accumulated other comprehensive income,-5799,-11411,-10340,-10754
Total stockholders' equity,182627,165029,149813,143748
Total liabilities and stockholders' equity,1787827,1755343,1707620,1657179
