Breakdown,12/31/2019,12/31/2018,12/31/2017,6/30/2017,6/30/2016
Total Assets,1307336,1258758,1215659,1087676,1010102
Liabilities,,,,,
Total Liabilities,1130485,1086494,1038614,909955,820361
Stockholders' Equity,,,,,
Common Stock,107,112,118,119,127
Retained Earnings,86156,81607,78551,77515,77301
Accumulated other comprehensive income,-1539,-4731,-1573,-434,1895
Total stockholders' equity,176851,172264,177045,177721,189741
Total liabilities and stockholders' equity,1307336,1258758,1215659,1087676,1010102
