Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3803000,3253000,3193000,2943000
Depreciation & amortization,-,205000,194000,191000
Change in working capital,-,1485000,-7176000,-5382000
Inventory,-,-289000,-356000,-857000
Other working capital,-,-2387000,-3468000,-2515000
Other non-cash items,-,-586000,614000,-330000
Net cash provided by operating activites,-,4334000,-3307000,-2428000
Investments in property plant and equipment,-,-6721000,-161000,-87000
Purchases of investments,-,-145000,-1012000,-8000
Sales/Maturities of investments,-,1130000,69000,5000
Other investing activites,-,-1000,693000,17000
Net cash used for investing activites,-,-2187000,-411000,-73000
Net change in cash,-,-488000,-5501000,-3545000
Cash at beginning of period,-,16889000,22390000,25935000
Cash at end of period,-,16400000,16889000,22390000
Operating Cash Flow,-,4334000,-3307000,-2428000
Capital Expenditure,-,-6721000,-161000,-87000
Free Cash Flow,-,-2387000,-3468000,-2515000
