Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3464000,3095000,3449000,2934000
Depreciation & amortization,-,432000,685000,414000
Change in working capital,-,-3844000,-4240000,451000
Inventory,-,186000,-43000,18000
Other working capital,-,-1860000,-710000,2774000
Other non-cash items,-,-488000,191000,-226000
Net cash provided by operating activites,-,-1282000,166000,2951000
Investments in property plant and equipment,-,-578000,-876000,-177000
Purchases of investments,-,-789000,-497000,-525000
Sales/Maturities of investments,-,1533000,2690000,904000
Other investing activites,-,159000,157000,-171000
Net cash used for investing activites,-,334000,1489000,75000
Net change in cash,-,-1440000,2093000,-363000
Cash at beginning of period,-,9543000,7449000,7812000
Cash at end of period,-,8102000,9543000,7449000
Operating Cash Flow,-,-1282000,166000,2951000
Capital Expenditure,-,-578000,-876000,-177000
Free Cash Flow,-,-1860000,-710000,2774000
