Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,11713,11713,13843,14525
Interest Expense,11973,11973,8757,6525
Income Before Tax,3279,3279,5527,6532
Income Tax Expense,850.612,850.612,1391,2630
Income from Continuing Operations,2428,2428,4137,3902
Net Income,2428,2428,4137,3902
Net Income available to common shareholders,2428,2428,4137,3902
Basic EPS,-,-,0.73,0.69
Diluted EPS,-,-,0.73,0.69
Basic Average Shares,-,-,5658,5658
Diluted Average Shares,-,-,5658,5658
