Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-410.19,-748.46,-133.257,-199.187,-177.03
Purchases of investments,-,-,-,-13.681,-
Other investing activites,-,-,-,-,-443.03
Net cash used for investing activites,2822,2484,65.375,-212.868,-30.066
Debt repayment,-,-2150,-,-719.637,-987.779
Common stock issued,2610,3728,2850,2028,1975
Common stock repurchased,-,-,-,-,-71.197
Other financing activites,-,-,-,-,939.321
Net cash used privided by (used for) financing activities,582.372,1577,6020,3519,2476
Net change in cash,1525,937.078,114.329,612.863,-989.146
Cash at beginning of period,864.664,1938,1824,1211,2177
Cash at end of period,2390,2875,1938,1824,1211
Capital Expenditure,-410.19,-748.46,-133.257,-199.187,-177.03
Free Cash Flow,-2289,-3872,-6104,-2893,-3612
