Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,179659,179659,169004,175146,169809
Interest Expense,27544,27544,19523,16362,20292
Income Before Tax,47574,47574,40280,44433,41994
Income Tax Expense,11671,11671,9526,18469,16462
Income from Continuing Operations,35903,35903,30754,25964,25532
Net Income,35903,35903,30754,25964,25532
Net Income available to common shareholders,35903,35903,30754,25964,25517
Basic EPS,-,-,1.12,0.95,0.94
Diluted EPS,-,-,1.11,0.93,0.93
Basic Average Shares,-,-,27363,27467,27037
Diluted Average Shares,-,-,27634,27899,27374
