Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,382589,128563,-146686,44637
Depreciation & amortization,-,423010,243356,177292
Change in working capital,-,508981,-577858,-207027
Inventory,-,-180654,-55121,-24895
Other working capital,-,209892,-1326856,-466959
Other non-cash items,-,-321114,-36457,30255
Net cash provided by operating activites,-,499895,-534106,102030
Investments in property plant and equipment,-,-290003,-792750,-568989
Purchases of investments,-,-1248,-2648,-76502
Other investing activites,-,95242,-63068,-166718
Net cash used for investing activites,-,928939,-823488,-628073
Net change in cash,-,-691332,-437285,-581582
Cash at beginning of period,-,1718000,2155286,2736869
Cash at end of period,-,1026668,1718000,2155286
Operating Cash Flow,-,499895,-534106,102030
Capital Expenditure,-,-290003,-792750,-568989
Free Cash Flow,-,209892,-1326856,-466959
