Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,90600,90600,81174,49911,41294
Interest Expense,24575,24575,15566,5693,4300
Income Before Tax,33445,33445,21336,11444,9161
Income Tax Expense,6897,6897,3233,6429,3362
Income from Continuing Operations,26548,26548,18102,5015,5799
Net Income,26548,26548,18102,5015,5799
Net Income available to common shareholders,26548,26548,18102,4820,4777
Basic EPS,-,-,1.46,-,0.82
Diluted EPS,-,-,1.43,-,0.78
Basic Average Shares,-,-,12417,-,5896
Diluted Average Shares,-,-,12520,-,5896
