Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017
Net Income,3722231,3722231,2628946,2261777
Depreciation & amortization,2089470,2089470,1343033,1115404
Change in working capital,-1168551,-1168551,-736715,817164
Other working capital,-54568784,-54568784,-19792079,-71846203
Other non-cash items,103727,103727,82678,43883
Net cash provided by operating activites,4652025,4652025,3259463,4192423
Investments in property plant and equipment,-59220809,-59220809,-23051542,-76038626
Purchases of investments,-107353,-107353,-2381,-22253
Sales/Maturities of investments,1231304,1231304,443213,1462774
Other investing activites,-2,-2,-,-
Net cash used for investing activites,-58096860,-58096860,-22610709,-74599155
Net change in cash,1402934,1402934,-1023698,3780744
Cash at beginning of period,5728904,5728904,5795668,-
Cash at end of period,7131838,7131838,4771970,6865175
Operating Cash Flow,4652025,4652025,3259463,4192423
Capital Expenditure,-59220809,-59220809,-23051542,-76038626
Free Cash Flow,-54568784,-54568784,-19792079,-71846203
