Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-1065,-292.862,-336.077
Acquisitions net,-,-,319.69,-,-
Net cash used for investing activites,-,-,-745.339,-292.862,-336.077
Debt repayment,-,-,-251.661,-,-321.191
Common stock issued,1000,3660,3475,1.2,2501
Common stock repurchased,-,-270.621,-229.096,-,-77.074
Net cash used privided by (used for) financing activities,928.148,3389,3036,1.2,2515
Net change in cash,-2243,389.981,1498,-725.506,1290
Cash at beginning of period,2549,1508,0.444,1472,181.481
Cash at end of period,305.47,1898,1508,746.462,1472
Capital Expenditure,-,-,-1065,-292.862,-336.077
Free Cash Flow,-3171,-2999,-1858,-726.706,-1225
