Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,866392,770511,703594,613771
Liabilities,,,,
Total Liabilities,766266,682045,634418,558635
Stockholders' Equity,,,,
Common Stock,101,102,72.875,72.875
Retained Earnings,7634,8089,62116,48076
Accumulated other comprehensive income,24,-,-,-
Total stockholders' equity,100126,88466,69176,55136
Total liabilities and stockholders' equity,866392,770511,703594,613771
