Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,900822,840402,744840,632522
Depreciation & amortization,-,369224,413165,416363
Change in working capital,-,447219,-60291,-838163
Other working capital,-,1657173,1004034,5801
Other non-cash items,-,17482,8441,14105
Net cash provided by operating activites,-,1689021,1038795,88195
Investments in property plant and equipment,-,-31848,-34761,-82394
Purchases of investments,-,-929,-11546,-100020
Sales/Maturities of investments,-,78456,-,-
Other investing activites,-,-4069,2639,88
Net cash used for investing activites,-,41610,-43668,-182326
Net change in cash,-,198391,995487,-535783
Cash at beginning of period,-,2507492,1512004,2047788
Cash at end of period,-,2705884,2507492,1512004
Operating Cash Flow,-,1689021,1038795,88195
Capital Expenditure,-,-31848,-34761,-82394
Free Cash Flow,-,1657173,1004034,5801
