Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,29623948,32878825,16106019,12005170,9794423
Depreciation & amortization,6207353,6926098,5811543,4848589,3741817
Change in working capital,30239543,28811975,8358162,2911368,1045201
Other working capital,16255419,-17081270,-38617210,-56480746,-79154232
Other non-cash items,1465583,1408447,1906155,1544850,1209767
Net cash provided by operating activites,66464483,68781429,31137535,20506723,15137398
Investments in property plant and equipment,-50209064,-85862699,-69754745,-76987469,-94291630
Purchases of investments,-37923527,-372034,-37922217,-18073423,-110095
Sales/Maturities of investments,861746,128676,932685,405177,522739
Other investing activites,806270,866810,-14688,-1083333,-578818
Net cash used for investing activites,-86464575,-85239247,-106758965,-95739048,-94457804
Net change in cash,40527153,17722798,-9629189,6479060,395753
Cash at beginning of period,15072553,66664311,35766347,23812895,30583059
Cash at end of period,55599718,84387110,26137157,30291955,30978812
Operating Cash Flow,66464483,68781429,31137535,20506723,15137398
Capital Expenditure,-50209064,-85862699,-69754745,-76987469,-94291630
Free Cash Flow,16255419,-17081270,-38617210,-56480746,-79154232
