Breakdown,ttm,12/31/2019,12/31/2018
Net Income,1458,1458,1737
Change in working capital,3910,3910,522.1
Other working capital,5369,5369,2259
Net cash provided by operating activites,5369,5369,2259
Purchases of investments,-,-,-400000
Other investing activites,-,-,-400000
Net cash used for investing activites,-5980,-5980,-402606
Debt repayment,0,0,-150
Common stock issued,0,0,410000
Other financing activites,-,-,-8756
Net cash used privided by (used for) financing activities,0,0,401094
Net change in cash,-611.222,-611.222,746.445
Cash at beginning of period,856.182,856.182,109.737
Cash at end of period,244.96,244.96,856.182
Operating Cash Flow,5369,5369,2259
Free Cash Flow,5369,5369,2259
