Breakdown,ttm,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-242.306,-561.11,-813.992,-2.218
Net cash used for investing activites,256.043,35.739,-336.986,-2.218
Debt repayment,-282.928,-609.421,-1254,-11.377
Common stock issued,50,800,1150,-
Common stock repurchased,-,-48,-82.081,-
Other financing activites,-,-35,-,-
Net cash used privided by (used for) financing activities,1175,1169,1481,471.883
Net change in cash,-287.013,-725.743,682.748,-55.798
Cash at beginning of period,553.643,750.286,67.538,123.336
Cash at end of period,266.63,24.543,750.286,67.538
Capital Expenditure,-242.306,-561.11,-813.992,-2.218
Free Cash Flow,-1960,-2491,-1275,-527.681
