Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,945218,871420,805395,695283
Liabilities,,,,
Total Liabilities,871767,806290,746150,640069
Stockholders' Equity,,,,
Common Stock,26,25,25,25
Retained Earnings,45625,40203,34736,31999
Accumulated other comprehensive income,530,-533,39,-229
Total stockholders' equity,73451,65130,59245,55214
Total liabilities and stockholders' equity,945218,871420,805395,695283
