Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4397672,3929090,3144360,2955994
Liabilities,,,,
Total Liabilities,3823852,3470450,2779789,2625727
Stockholders' Equity,,,,
Common Stock,26671,24967,22934,15261
Retained Earnings,253090,211424,178969,149666
Accumulated other comprehensive income,15105,-7098,-2620,-6404
Total stockholders' equity,573820,458640,364571,330267
Total liabilities and stockholders' equity,4397672,3929090,3144360,2955994
