Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,18707000,22899000,21467000,22214000
Depreciation & amortization,-,5952000,7144000,6804000
Change in working capital,-,254442000,234939000,39429000
Other working capital,-,244128000,193799000,53678000
Other non-cash items,-,-129673000,-155109000,-92148000
Net cash provided by operating activites,-,249346000,204828000,66974000
Investments in property plant and equipment,-,-5218000,-11029000,-13296000
Acquisitions net,-,-,-181000,-
Purchases of investments,-,-172564000,-243402000,-207195000
Sales/Maturities of investments,-,343129000,352180000,367121000
Other investing activites,-,-,1000,-1000
Net cash used for investing activites,-,165519000,98535000,146717000
Net change in cash,-,397551000,269407000,188486000
Cash at beginning of period,-,1073168000,803760000,615274000
Cash at end of period,-,1470719000,1073168000,803760000
Operating Cash Flow,-,249346000,204828000,66974000
Capital Expenditure,-,-5218000,-11029000,-13296000
Free Cash Flow,-,244128000,193799000,53678000
