Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,7491790,8378669,7671960,6721916
Total Operating Expenses,5158394,5364312,5061500,5192000
Operating Income or Loss,2333396,3014357,2610460,1529916
Interest Expense,53313,48909,61527,73053
Income Before Tax,2280258,2967998,2552359,1453041
Income Tax Expense,815083,1000196,845446,572707
Income from Continuing Operations,1465175,1967802,1706913,880334
Net Income,1465173,1967801,1706913,880333
Net Income available to common shareholders,1465173,1967801,1706913,880333
Basic EPS,-,319.19,277.74,149.65
Diluted EPS,-,296.38,260.27,143.85
Basic Average Shares,-,6165,6146,5882
Diluted Average Shares,-,6639,6558,6120
