Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,640178000,640178000,619174000,418805000,206794000
Depreciation & amortization,415094000,415094000,343085000,325054000,311588000
Stock based compensation,31366000,31366000,31359000,-,-
Change in working capital,-6781000,-6781000,-33592000,-24983000,50231000
Inventory,-69171000,-69171000,71565000,-9350000,-133754000
Other working capital,692944000,692944000,554972000,246382000,252568000
Other non-cash items,21045000,21045000,24851000,16175000,57449000
Net cash provided by operating activites,1151844000,1151844000,1006651000,758490000,752247000
Investments in property plant and equipment,-458900000,-458900000,-451679000,-512108000,-499679000
Acquisitions net,-73081000,-73081000,-2252000,-3715000,-4412000
Purchases of investments,-7198000,-7198000,-7535000,-5926000,-17471000
Sales/Maturities of investments,17774000,17774000,36309000,12309000,13283000
Other investing activites,-,-,-,78181000,528000
Net cash used for investing activites,-510126000,-510126000,-420392000,-433286000,-500343000
Net change in cash,23382000,23382000,162260000,69023000,4104000
Cash at beginning of period,492650000,492650000,330390000,261367000,257263000
Cash at end of period,516032000,516032000,492650000,330390000,261367000
Operating Cash Flow,1151844000,1151844000,1006651000,758490000,752247000
Capital Expenditure,-458900000,-458900000,-451679000,-512108000,-499679000
Free Cash Flow,692944000,692944000,554972000,246382000,252568000
