Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,19573480,16937546,16260040
Liabilities,,,
Total Liabilities,15504132,14297221,13688105
Stockholders' Equity,,,
Common Stock,3742572,2542571,2504477
Retained Earnings,-319273,-,-
Total stockholders' equity,4053829,2640291,2571901
Total liabilities and stockholders' equity,19573480,16937546,16260040
