Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,174033,202219,20898,80694
Depreciation & amortization,-,190446,143896,112447
Change in working capital,-,-322610,117106,-14214
Inventory,-,6669,33155,-54041
Other working capital,-,-172797,144966,102718
Other non-cash items,-,14232,3256,-4895
Net cash provided by operating activites,-,147691,219059,232813
Investments in property plant and equipment,-,-320488,-74093,-130095
Acquisitions net,-,-509083,-465435,-
Purchases of investments,-,-,-,-79800
Sales/Maturities of investments,-,-,-,3000
Other investing activites,-,-6410,-35691,5547
Net cash used for investing activites,-,-834880,-552120,-200101
Net change in cash,-,-494978,713319,5427
Cash at beginning of period,-,1772500,1059180,1053753
Cash at end of period,-,1277521,1772500,1059180
Operating Cash Flow,-,147691,219059,232813
Capital Expenditure,-,-320488,-74093,-130095
Free Cash Flow,-,-172797,144966,102718
