Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,5330000,5330000,4330000,2838000,1482000
Depreciation & amortization,2666000,2666000,3164000,3562000,3365000
Change in working capital,1420000,1420000,76000,124000,1500000
Inventory,1278000,1278000,-697000,-192000,2263000
Other working capital,8123000,8123000,5244000,5211000,4047000
Other non-cash items,639000,639000,-163000,911000,-151000
Net cash provided by operating activites,10925000,10925000,7523000,7661000,6537000
Investments in property plant and equipment,-2802000,-2802000,-2279000,-2450000,-2490000
Purchases of investments,-317000,-317000,-2000,-16000,-1000
Sales/Maturities of investments,300000,300000,147000,260000,-
Other investing activites,-44000,-44000,-74000,25000,-52000
Net cash used for investing activites,-2863000,-2863000,-2202000,-2174000,-2540000
Net change in cash,5946000,5946000,3006000,3401000,1837000
Cash at beginning of period,22438000,22438000,19431000,16030000,14192000
Cash at end of period,28384000,28384000,22438000,19431000,16030000
Operating Cash Flow,10925000,10925000,7523000,7661000,6537000
Capital Expenditure,-2802000,-2802000,-2279000,-2450000,-2490000
Free Cash Flow,8123000,8123000,5244000,5211000,4047000
