Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-4.0539,-4.2687,-,-1029
Sales/Maturities of investments,-,-,-,-,1860
Other investing activites,-,-,185.182,37.3622,-
Net cash used for investing activites,-,-4.0539,180.9133,245.3705,1033
Debt repayment,-155.7883,-718.4529,-,-,-
Common stock issued,6296,2276,2360,1469,-
Net cash used privided by (used for) financing activities,6159,4409,4932,1531,-
Net change in cash,2709,159.5024,-17.2669,-589.025,-1704
Cash at beginning of period,130.9847,22.1047,38.2411,601.6251,2361
Cash at end of period,2840,181.607,20.9742,36.7447,623.1753
Capital Expenditure,-,-4.0539,-4.2687,-,-1029
Free Cash Flow,-3450,-4249,-5134,-2365,-3765
