Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,19359434,19359434,19040950,18251687,17532483
Interest Expense,17076,17076,-,-,-
Total Other Income/Expenses Net,2734806,2734806,2734862,2405576,2072043
Income Before Tax,2027056,2027056,2166079,1532686,1338012
Income Tax Expense,647947,647947,856702,434448,426666
Income from Continuing Operations,1379109,1379109,1309377,1098238,911346
Net Income,1379083,1379083,1310620,1100867,915599
Net Income available to common shareholders,1379083,1379083,1310620,1100867,915599
Basic EPS,-,-,4.05,3.40,2.82
Diluted EPS,-,-,4.05,3.40,2.82
Basic Average Shares,-,-,323600,323293,324801
Diluted Average Shares,-,-,323600,323293,324801
