Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,46033,46033,44092,38068,35060
Interest Expense,5781,5781,3981,2762,3047
Income Before Tax,13829,13829,13923,9145,8849
Income Tax Expense,2858,2858,2694,3330,2167
Income from Continuing Operations,10971,10971,11229,5815,6682
Net Income,10971,10971,11229,5815,6682
Net Income available to common shareholders,10971,10971,11229,5815,6682
Basic EPS,-,-,1.48,0.85,1.01
Diluted EPS,-,-,1.45,0.83,0.98
Basic Average Shares,-,-,7581,6849,6617
Diluted Average Shares,-,-,7731,6998,6787
