Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1720280,2328925,1911754,1611942
Depreciation & amortization,-,223869,205959,211475
Change in working capital,-,243884,-4704600,464540
Inventory,-,-260006,-545460,87181
Other working capital,-,1420298,-2897193,1878049
Other non-cash items,-,111700,80805,-128161
Net cash provided by operating activites,-,2930367,-2253113,2136026
Investments in property plant and equipment,-,-1510069,-644080,-257977
Acquisitions net,-,-58048,-29000,-
Purchases of investments,-,-162003,-188182,-71735
Sales/Maturities of investments,-,6464,22157,176177
Other investing activites,-,-37275,10292,92677
Net cash used for investing activites,-,-1684875,-816585,-43980
Net change in cash,-,-838567,36093,-296031
Cash at beginning of period,-,5706308,5670214,5966246
Cash at end of period,-,4867740,5706308,5670214
Operating Cash Flow,-,2930367,-2253113,2136026
Capital Expenditure,-,-1510069,-644080,-257977
Free Cash Flow,-,1420298,-2897193,1878049
