Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-2292,-3303,-1074
Net cash used for investing activites,-1967,-3303,-1074
Common stock issued,-,-,7317
Common stock repurchased,-,-,-764.092
Net cash used privided by (used for) financing activities,-,-,6553
Net change in cash,348.364,-3840,5048
Cash at beginning of period,2697,5048,-
Cash at end of period,3045,1208,5048
Capital Expenditure,-2292,-3303,-1074
Free Cash Flow,-2873,-3840,-1505
