Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,156100,156100,169400,162100,130800
Depreciation & amortization,110700,110700,79700,65800,66300
Stock based compensation,8800,8800,8200,8000,5800
Change in working capital,42100,42100,-57800,-7200,21200
Inventory,-14700,-14700,5500,3900,17500
Other working capital,249000,249000,148600,144300,180700
Other non-cash items,-7500,-7500,-3100,-10800,-2800
Net cash provided by operating activites,314800,314800,207000,214100,251600
Investments in property plant and equipment,-65800,-65800,-58400,-69800,-70900
Acquisitions net,-68000,-68000,-137600,-,0
Purchases of investments,-3500,-3500,-18400,-18400,-44600
Sales/Maturities of investments,19600,19600,100,-,-
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-105500,-105500,-195700,-82200,-104200
Net change in cash,-19500,-19500,-19700,200,-45500
Cash at beginning of period,49600,49600,67600,67500,107800
Cash at end of period,28100,28100,49600,67600,67500
Operating Cash Flow,314800,314800,207000,214100,251600
Capital Expenditure,-65800,-65800,-58400,-69800,-70900
Free Cash Flow,249000,249000,148600,144300,180700
