Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-173.079,-174.87,-214.89,-274.061,-259.072
Purchases of investments,-,-,-,-1000,-28.849
Other investing activites,-,3100,2.8,164.796,-92.5
Net cash used for investing activites,-173.079,2925,-212.09,-1109,-380.421
Debt repayment,-,-1861,-,-,-
Common stock repurchased,-,-,-,-28.332,-
Net cash used privided by (used for) financing activities,831.318,-1861,661,1052,1620
Net change in cash,73.83,-49.694,-130.278,-686.903,699.573
Cash at beginning of period,472.602,115.575,245.853,932.756,233.183
Cash at end of period,546.432,65.881,115.575,245.853,932.756
Capital Expenditure,-173.079,-174.87,-214.89,-274.061,-259.072
Free Cash Flow,-757.488,-1288,-794.078,-903.734,-799.078
