Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1785000,1943000,2397000,1743000
Depreciation & amortization,-,531000,543000,457000
Change in working capital,-,-115000,453000,383000
Inventory,-,-176000,32000,534000
Other working capital,-,788000,2276000,1488000
Other non-cash items,-,-411000,281000,-44000
Net cash provided by operating activites,-,2150000,2864000,2565000
Investments in property plant and equipment,-,-1362000,-588000,-1077000
Acquisitions net,-,-,-30000,-
Sales/Maturities of investments,-,1000,-,268000
Other investing activites,-,10000,-6000,-16000
Net cash used for investing activites,-,-1351000,-624000,-825000
Net change in cash,-,94000,1715000,1124000
Cash at beginning of period,-,7401000,5407000,4499000
Cash at end of period,-,7495000,7401000,5623000
Operating Cash Flow,-,2150000,2864000,2565000
Capital Expenditure,-,-1362000,-588000,-1077000
Free Cash Flow,-,788000,2276000,1488000
