Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,60404,28517,11614,49076
Depreciation & amortization,-,91640,101403,93531
Change in working capital,-,-170257,-4366,-80964
Inventory,-,-106675,31893,-107881
Other working capital,-,-142003,110903,116768
Other non-cash items,-,-75851,17532,23990
Net cash provided by operating activites,-,-131064,116376,144371
Investments in property plant and equipment,-,-10939,-5473,-27603
Purchases of investments,-,-122941,-39610,-39632
Sales/Maturities of investments,-,159527,55713,37200
Other investing activites,-,-1051,-6428,-23358
Net cash used for investing activites,-,25745,210,-51835
Net change in cash,-,-22793,-20523,-148462
Cash at beginning of period,-,538749,559273,707735
Cash at end of period,-,515955,538749,559273
Operating Cash Flow,-,-131064,116376,144371
Capital Expenditure,-,-10939,-5473,-27603
Free Cash Flow,-,-142003,110903,116768
