Breakdown,ttm,6/30/2019
Total Revenue,0,0
Total Operating Expenses,685.221,446.704
Operating Income or Loss,-685.221,-446.704
Total Other Income/Expenses Net,6.766,1.49
Income Before Tax,567.984,825.054
Income from Continuing Operations,567.984,825.054
Net Income,567.984,825.054
Net Income available to common shareholders,-569.644,-335.298
