Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1528000,2474000,2878000,1567000
Depreciation & amortization,4963000,4598000,4984000,5355000
Change in working capital,-65000,349000,85000,-402000
Inventory,39000,-697000,-696000,-954000
Other working capital,3396000,4354000,5126000,1365000
Other non-cash items,731000,6000,-235000,-1264000
Net cash provided by operating activites,7097000,7628000,7220000,4182000
Investments in property plant and equipment,-3701000,-3274000,-2094000,-2817000
Purchases of investments,-20000,-396000,-59000,-55000
Sales/Maturities of investments,-,30000,-,65000
Other investing activites,-154000,-27000,-1350000,129000
Net cash used for investing activites,-2902000,-3625000,-3478000,-2634000
Net change in cash,352000,425000,1229000,-2448000
Cash at beginning of period,10738000,10912000,9683000,12131000
Cash at end of period,11225000,11337000,10912000,9683000
Operating Cash Flow,7097000,7628000,7220000,4182000
Capital Expenditure,-3701000,-3274000,-2094000,-2817000
Free Cash Flow,3396000,4354000,5126000,1365000
