Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1170279,1091595,1050731,914793
Liabilities,,,,
Total Liabilities,1050085,979098,945068,832932
Stockholders' Equity,,,,
Common Stock,7440,7639,7588,6708
Retained Earnings,19927,12262,4066,573
Accumulated other comprehensive income,2490,-2334,-444,-1237
Total stockholders' equity,120194,112497,105663,81861
Total liabilities and stockholders' equity,1170279,1091595,1050731,914793
