Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,30516000,29698000,60741000,53065000
Depreciation & amortization,59882000,52485000,51783000,46273000
Change in working capital,-10580000,85000,1255000,2709000
Inventory,-3275000,-3877000,-11287000,3216000
Other working capital,54130000,43249000,48689000,22714000
Other non-cash items,465000,213000,-504000,-253000
Net cash provided by operating activites,137404000,123256000,126655000,108907000
Investments in property plant and equipment,-83274000,-80007000,-77966000,-86193000
Acquisitions net,-,-,-25547000,-63979000
Purchases of investments,-2098000,-3495000,-1869000,-7242000
Sales/Maturities of investments,10834000,6940000,3082000,8664000
Other investing activites,1212000,-4078000,-883000,-3107000
Net cash used for investing activites,-71276000,-72923000,-99104000,-142299000
Net change in cash,-11062000,-29344000,1865000,-18484000
Cash at beginning of period,154276000,187869000,186003000,204487000
Cash at end of period,142156000,153725000,187869000,186003000
Operating Cash Flow,137404000,123256000,126655000,108907000
Capital Expenditure,-83274000,-80007000,-77966000,-86193000
Free Cash Flow,54130000,43249000,48689000,22714000
