Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1248,-1248,-1087,-240.109,-46.762
Acquisitions net,-901.592,-901.592,-7179,-4331,-25020
Other investing activites,5.844,5.844,1034,-,-
Net cash used for investing activites,-2144,-2144,-7222,-4571,-25066
Debt repayment,-750,-750,-963.509,-11.024,-180.75
Common stock issued,-,-,-,340,20761
Common stock repurchased,-5.1,-5.1,-5.497,-366.471,-1681
Dividends Paid,-1934,-1934,-1279,-,-
Other financing activites,-3127,-3127,-40,-28.252,-277.917
Net cash used privided by (used for) financing activities,-6587,-6587,4512,-65.747,26250
Net change in cash,-1128,-1128,237.637,128.693,1410
Cash at beginning of period,1777,1777,1539,1410,-
Cash at end of period,648.96,648.96,1777,1539,1410
Capital Expenditure,-1248,-1248,-1087,-240.109,-46.762
Free Cash Flow,6355,6355,1861,4526,179.893
