Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Purchases of investments,-72795,-72795,-154151,-102564,-66335
Sales/Maturities of investments,128747,128747,183621,81795,113184
Other investing activites,-,-,-,81795,-
Net cash used for investing activites,55952,55952,29470,-20769,46849
Debt repayment,-487011,-487011,-106262,-134615,-69099
Common stock repurchased,-,-,-,-2564,-
Dividends Paid,-760491,-760491,-730377,-269487,-186982
Other financing activites,-32258,-32258,-1700,-2564,-
Net cash used privided by (used for) financing activities,-815872,-815872,-732077,-272051,-214621
Net change in cash,-239509,-239509,206007,39872,-4146
Cash at beginning of period,262347,262347,56673,11026,12852
Cash at end of period,21696,21696,260414,51282,11885
Free Cash Flow,520411,520411,908614,332692,163626
