Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2708000,4662000,3006000,5455000
Depreciation & amortization,8317000,8484000,9104000,8614000
Change in working capital,6202000,3548000,-2097000,-412000
Inventory,97000,3885000,-2444000,-1091000
Other working capital,4958000,9105000,6915000,5455000
Other non-cash items,-796000,202000,-656000,803000
Net cash provided by operating activites,16700000,17346000,14804000,16809000
Investments in property plant and equipment,-11742000,-8241000,-7889000,-11354000
Sales/Maturities of investments,-,597000,-,30000
Other investing activites,-,7000,-,31000
Net cash used for investing activites,-11350000,-7457000,-7099000,-10884000
Net change in cash,2077000,978000,-603000,4507000
Cash at beginning of period,23051000,25246000,25849000,21342000
Cash at end of period,25322000,26224000,25246000,25849000
Operating Cash Flow,16700000,17346000,14804000,16809000
Capital Expenditure,-11742000,-8241000,-7889000,-11354000
Free Cash Flow,4958000,9105000,6915000,5455000
